k, N1, N2, N3
0,650,400,300
1,571.43,500,411.76
2,571.43,500,411.76
3,571.43,500,411.76
4,571.43,500,411.76
5,571.43,500,411.76
6,571.43,500,411.76
7,571.43,500,411.76
8,571.43,500,411.76
9,571.43,500,411.76
10,571.43,500,411.76
11,571.43,500,411.76
12,571.43,500,411.76
13,571.43,500,411.76
14,571.43,500,411.76
15,571.43,500,411.76
16,571.43,500,411.76
17,571.43,500,411.76
18,571.43,500,411.76
19,571.43,500,411.76
20,571.43,500,411.76
21,571.43,500,411.76
22,571.43,500,411.76
23,571.43,500,411.76
24,571.43,500,411.76
25,571.43,500,411.76
26,571.43,500,411.76
27,571.43,500,411.76
28,571.43,500,411.76
29,571.43,500,411.76
30,571.43,500,411.76
31,571.43,500,411.76
32,571.43,500,411.76
33,571.43,500,411.76
34,571.43,500,411.76
35,571.43,500,411.76
36,571.43,500,411.76
37,571.43,500,411.76
38,571.43,500,411.76
39,571.43,500,411.76
40,571.43,500,411.76
41,571.43,500,411.76
42,571.43,500,411.76
43,571.43,500,411.76
44,571.43,500,411.76
45,571.43,500,411.76
46,571.43,500,411.76
47,571.43,500,411.76
48,571.43,500,411.76
49,571.43,500,411.76
50,571.43,500,411.76
51,571.43,500,411.76
52,571.43,500,411.76
53,571.43,500,411.76
54,571.43,500,411.76
55,571.43,500,411.76
56,571.43,500,411.76
57,571.43,500,411.76
58,571.43,500,411.76
59,571.43,500,411.76
60,571.43,500,411.76
61,571.43,500,411.76
62,571.43,500,411.76
63,571.43,500,411.76
64,571.43,500,411.76
65,571.43,500,411.76
66,571.43,500,411.76
67,571.43,500,411.76
68,571.43,500,411.76
69,571.43,500,411.76
70,571.43,500,411.76
71,571.43,500,411.76
72,571.43,500,411.76
73,571.43,500,411.76
74,571.43,500,411.76
75,571.43,500,411.76
76,571.43,500,411.76
77,571.43,500,411.76
78,571.43,500,411.76
79,571.43,500,411.76
80,571.43,500,411.76
81,571.43,500,411.76
82,571.43,500,411.76
83,571.43,500,411.76
84,571.43,500,411.76
85,571.43,500,411.76
86,571.43,500,411.76
87,571.43,500,411.76
88,571.43,500,411.76
89,571.43,500,411.76
90,571.43,500,411.76
91,571.43,500,411.76
92,571.43,500,411.76
93,571.43,500,411.76
94,571.43,500,411.76
95,571.43,500,411.76
96,571.43,500,411.76
97,571.43,500,411.76
98,571.43,500,411.76
99,571.43,500,411.76
100,571.43,500,411.76
